id,path,hex_256
s1/1,data/s1/1.pgm,1a993aed54cffbe63f4dfc03bdbf22607eff37d14aba73ffffedbe81778aa5db
s1/10,data/s1/10.pgm,0ab0fefa6ff4b9538f5f7517bcdf7e6bef3bbf91924fb2d1dfd9faeb9704a5f7
s1/2,data/s1/2.pgm,03bdbaf8fdd5bbff1fcd5c07fcfe36e4dd7fb31597b873ff3f3f9fcb984cbdff
s1/3,data/s1/3.pgm,19b97be914df7bf02d4cfc0fbfdf3260fca917cc43b83239ffdda3402b8b65fa
s1/4,data/s1/4.pgm,1ddf7fedfc8feffd4dc0fec67dffb7707eef77efc1b32dfdfe7fa7c06dfaf1f9
s1/5,data/s1/5.pgm,23957be97487e9575f417e56b99f3260fea9179d91ba31df5ffdba40dd8861f8
s1/6,data/s1/6.pgm,03b97bccfc8ffff79f40fcc6fdffb460feab3fddd7bb36ff7e3daec89d88b1f8
s1/7,data/s1/7.pgm,01cb7bedf6cb7ff73c607ac6b5afb0707ebf17ccd198255d7caca6c07d92a3e9
s1/8,data/s1/8.pgm,139c7bfe76c6fff41c485e073dffb0607e7937cde1bb36fff3efae8035c875fb
s1/9,data/s1/9.pgm,21787be87c87e970cd48fc06b9dd3420eeb917fcc3ab70dddff9a2c05c8974f9
s10/1,data/s10/1.pgm,11dd6bbd74c3af671c405a02349eb0607e3b13c5d39a347f652caac01508b5f8
s10/10,data/s10/10.pgm,03d9ebccd587fff75f405c0330be3660f83b13ddd7ba36fb7f2c8e4a1d1af5ea
s10/2,data/s10/2.pgm,12dd6bfc14c7fb77dc00da0231df306078bb13c953bb10fff5ad8a403588f5a8
s10/3,data/s10/3.pgm,13894ac95697fa771d055883398e26607ebb13cd56bb14fd772c8ac0358e71ac
s10/4,data/s10/4.pgm,138943c85687eb771d0058c2398eb4607ebb138dc3ba34ff772caac0358ef0ac
s10/5,data/s10/5.pgm,128d42bd5683aee714005a432cda30c07afb93c1d2b904ff3c248ec01508b18c
s10/6,data/s10/6.pgm,328d629dd7d7bee75f41784328cc3464f8ab13c553bb34ff3f0c8e42570cfdee
s10/7,data/s10/7.pgm,02bd2af855c7fb671f45d803bc9f3460fabb93c152bb10ff7f5d9a43150cf5fa
s10/8,data/s10/8.pgm,12cd6bdd74c7bfe714005a433ddf3040787b13c1d3b914ff3d248ec81508b5fa
s10/9,data/s10/9.pgm,23196bec74c7fb700d405882399db4607eb917cdc1ba34dd572daa80358875f9
s11/1,data/s11/1.pgm,22097aec75d7fb738d84fc03289f3764eab917c9ccbb30cd77fd8a0b278e7eee
s11/10,data/s11/10.pgm,32797acc75d5fc67bd8cfc032c9e37e4e8b993c1ccbb30ec777d8a0b078c7dce
s11/2,data/s11/2.pgm,334d63cc76d6ef76fdc0588239de35647ee917cfc5bb34ef773d8a8827bf74ec
s11/3,data/s11/3.pgm,035962cc74d6ff76fdcc7a022d9eb7e4fef997c9c4bb20ed773d8e8a279c7dee
s11/4,data/s11/4.pgm,0ad972c87dd5fe768f4cfc032cdf36e4eef997c1c2bb36fd375d8e8b37ac3def
s11/5,data/s11/5.pgm,02c962dc7fd7fe669f44548328df3764eebb93c1c69b26fd777c8a8b379c7ddf
s11/6,data/s11/6.pgm,23097acc75d4fa668d84fc032cdf3764eebb93c1c4ab24ec777d8a8b070c7def
s11/7,data/s11/7.pgm,32497aec5dd4ff669d04fc03289f3760e8bb13814ebb72cd777c8a0b15187cca
s11/8,data/s11/8.pgm,02597afc75d7fd779d0c5c833d9f3660eebb9381c6bb30dd77fd9a8b178c75fb
s11/9,data/s11/9.pgm,02797af87cd7be770f8cde032cdf3664e8b997c1c6bb32fd777d8f4b27ac2fcf
s12/1,data/s12/1.pgm,3b9d6b8c54c7ae671e40dec738ceb4607a7b13cdc7bb34ff3b6c8a801d8af1dc
s12/10,data/s12/10.pgm,0a9d6bd855d3ba735d41de02289e3660fe3b938997ba34df3f7d9ac3978a75de
s12/2,data/s12/2.pgm,11cd6bec54c6ef7724005a02359b306068ba13c9c0bb34ff71acae00359835e8
